Date_of_publication,Total_reported
2020-02-28,1
2020-02-29,1
2020-03-01,3
2020-03-02,5
2020-03-03,4
2020-03-04,10
2020-03-05,17
2020-03-06,40
2020-03-07,50
2020-03-08,32
2020-03-09,61
2020-03-10,130
2020-03-11,123
2020-03-12,127
2020-03-13,113
2020-03-14,219
2020-03-15,173
2020-03-16,270
2020-03-17,288
2020-03-18,347
2020-03-19,396
2020-03-20,533
2020-03-21,637
2020-03-22,605
2020-03-23,553
2020-03-24,749
2020-03-25,843
2020-03-26,1007
2020-03-27,1167
2020-03-28,1146
2020-03-29,1092
2020-03-30,873
2020-03-31,834
2020-04-01,1008
2020-04-02,1083
2020-04-03,1020
2020-04-04,1002
2020-04-05,1099
2020-04-06,945
2020-04-07,782
2020-04-08,959
2020-04-09,1208
2020-04-10,1327
2020-04-11,1301
2020-04-12,1171
2020-04-13,959
2020-04-14,862
2020-04-15,730
2020-04-16,1069
2020-04-17,1234
2020-04-18,1186
2020-04-19,1023
2020-04-20,748
2020-04-21,716
2020-04-22,708
2020-04-23,874
2020-04-24,805
2020-04-25,647
2020-04-26,651
2020-04-27,405
2020-04-28,193
2020-04-29,388
2020-04-30,507
2020-05-01,478
2020-05-02,437
2020-05-03,338
2020-05-04,201
2020-05-05,319
2020-05-06,319
2020-05-07,361
2020-05-08,319
2020-05-09,288
2020-05-10,242
2020-05-11,179
2020-05-12,195
2020-05-13,223
2020-05-14,274
2020-05-15,202
2020-05-16,194
2020-05-17,125
2020-05-18,148
2020-05-19,111
2020-05-20,187
2020-05-21,254
2020-05-22,184
2020-05-23,177
2020-05-24,173
2020-05-25,213
2020-05-26,129
2020-05-27,194
2020-05-28,178
2020-05-29,178
2020-05-30,141
2020-05-31,176
2020-06-01,104
2020-06-02,95
2020-06-03,93
2020-06-04,188
2020-06-05,217
2020-06-06,190
2020-06-07,239
2020-06-08,166
2020-06-09,164
2020-06-10,181
2020-06-11,162
2020-06-12,207
2020-06-13,181
2020-06-14,144
2020-06-15,159
2020-06-16,134
2020-06-17,113
2020-06-18,124
2020-06-19,108
2020-06-20,90
2020-06-21,95
2020-06-22,68
2020-06-23,70
2020-06-24,80
2020-06-25,110
2020-06-26,93
2020-06-27,77
2020-06-28,66
2020-06-29,76
2020-06-30,57
2020-07-01,62
2020-07-02,75
2020-07-03,76
2020-07-04,65
2020-07-05,72
2020-07-06,41
2020-07-07,34
2020-07-08,57
2020-07-09,60
2020-07-10,65
2020-07-11,84
2020-07-12,95
2020-07-13,72
2020-07-14,98
2020-07-15,109
2020-07-16,119
2020-07-17,109
2020-07-18,145
2020-07-19,145
2020-07-20,183
2020-07-21,169
2020-07-22,170
2020-07-23,164
2020-07-24,155
2020-07-25,184
2020-07-26,213
2020-07-27,209
2020-07-28,224
2020-07-29,248
2020-07-30,341
2020-07-31,341
2020-08-01,431
2020-08-02,359
2020-08-03,372
